date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:45	26379/26379	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:43%20GMT	http://specthemes.com/proff/big-company/index.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/index.html	(from )
18:00:46	1215/1215	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jul%202019%2012:30:44%20GMT	http://specthemes.com/robots.txt		(from )
18:00:46	3702/3702	---M--	200	added ('OK')	image/png	etag:%225997e61a-e76%22	http://specthemes.com/proff/big-company/img/logos/logo-shortcut.png	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/logos/logo-shortcut.png	(from http://specthemes.com/proff/big-company/index.html)
18:00:47	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%225997e5ec-1d970%22	http://specthemes.com/proff/big-company/css/bootstrap.min.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/bootstrap.min.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:47	37414/37414	---MCZ	200	added ('OK')	text/css	etag:W/%225997e5ec-9226%22	http://specthemes.com/proff/big-company/css/font-awesome.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/font-awesome.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:47	23440/23440	---MCZ	200	added ('OK')	text/css	etag:W/%225997e5ee-5b90%22	http://specthemes.com/proff/big-company/css/icomoon.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/icomoon.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:47	34168/34168	---MCZ	200	added ('OK')	text/css	etag:W/%225997e5f0-8578%22	http://specthemes.com/proff/big-company/css/pogo-slider.min.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/pogo-slider.min.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:48	1434/1434	---MCZ	200	added ('OK')	text/css	etag:W/%2259a434d2-59a%22	http://specthemes.com/proff/big-company/css/slider.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/slider.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:48	24240/24240	---MCZ	200	added ('OK')	text/css	etag:W/%225997e5ea-5eb0%22	http://specthemes.com/proff/big-company/css/animate.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/animate.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:48	5243/5243	---MCZ	200	added ('OK')	text/css	etag:W/%225997e5f0-147b%22	http://specthemes.com/proff/big-company/css/owl.carousel.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/owl.carousel.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:49	3123/3123	---MCZ	200	added ('OK')	text/css	etag:W/%2259a43538-c33%22	http://specthemes.com/proff/big-company/css/default.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/default.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:49	26313/26313	---MCZ	200	added ('OK')	text/css	etag:W/%2259a4348b-66c9%22	http://specthemes.com/proff/big-company/css/styles.css	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/css/styles.css	(from http://specthemes.com/proff/big-company/index.html)
18:00:49	8109/8109	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:47%20GMT	http://specthemes.com/proff/big-company/get-quote.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/get-quote.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:49	5861/5861	---M--	200	added ('OK')	image/png	etag:%225997e61a-16e5%22	http://specthemes.com/proff/big-company/img/logos/logo.png	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/logos/logo.png	(from http://specthemes.com/proff/big-company/index.html)
18:00:50	14754/14754	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:47%20GMT	http://specthemes.com/proff/big-company/about.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/about.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:50	11253/11253	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:48%20GMT	http://specthemes.com/proff/big-company/team.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/team.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:50	10014/10014	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:48%20GMT	http://specthemes.com/proff/big-company/services-1.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/services-1.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:50	10136/10136	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:48%20GMT	http://specthemes.com/proff/big-company/services-2.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/services-2.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:51	12699/12699	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:48%20GMT	http://specthemes.com/proff/big-company/services-detail-1.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/services-detail-1.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:51	14074/14074	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:49%20GMT	http://specthemes.com/proff/big-company/services-detail-2.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/services-detail-2.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:51	11129/11129	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:49%20GMT	http://specthemes.com/proff/big-company/projects-boxed.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/projects-boxed.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:51	8755/8755	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:49%20GMT	http://specthemes.com/proff/big-company/project-detail.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/project-detail.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:51	11565/11565	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:49%20GMT	http://specthemes.com/proff/big-company/blog-grid.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/blog-grid.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:52	10021/10021	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:50%20GMT	http://specthemes.com/proff/big-company/blog-list.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/blog-list.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:52	11910/11910	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:50%20GMT	http://specthemes.com/proff/big-company/blog-post.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/blog-post.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:52	4502/4502	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:50%20GMT	http://specthemes.com/proff/big-company/404.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/404.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:52	12041/12041	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:50%20GMT	http://specthemes.com/proff/big-company/faq.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/faq.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:53	9689/9689	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:51%20GMT	http://specthemes.com/proff/big-company/pricing.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/pricing.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:53	5168/5168	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:51%20GMT	http://specthemes.com/proff/big-company/coming-soon.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/coming-soon.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:53	10156/10156	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:51%20GMT	http://specthemes.com/proff/big-company/privacy-policy.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/privacy-policy.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:53	8002/8002	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:51%20GMT	http://specthemes.com/proff/big-company/under-construction.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/under-construction.html	(from http://specthemes.com/proff/big-company/index.html)
18:00:54	8517/8517	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2012:30:51%20GMT	http://specthemes.com/proff/big-company/contact.html	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/contact.html	(from http://specthemes.com/proff/big-company/index.html)
18:01:05	107780/107780	---M--	200	added ('OK')	image/jpeg	etag:%225997e61a-1a504%22	http://specthemes.com/proff/big-company/img/slider/slide-4.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/slider/slide-4.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:12	38274/38274	---M--	200	added ('OK')	image/jpeg	etag:%225997e64e-9582%22	http://specthemes.com/proff/big-company/img/content/services/serv-9.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/services/serv-9.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:13	103890/103890	---M--	200	added ('OK')	image/jpeg	etag:%225997e61a-195d2%22	http://specthemes.com/proff/big-company/img/slider/slide-3.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/slider/slide-3.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:15	114756/114756	---M--	200	added ('OK')	image/jpeg	etag:%225997e61a-1c044%22	http://specthemes.com/proff/big-company/img/slider/slide-5.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/slider/slide-5.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:17	172208/172208	---M--	200	added ('OK')	image/jpeg	etag:%225997e61a-2a0b0%22	http://specthemes.com/proff/big-company/img/slider/slide-2.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/slider/slide-2.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:18	45049/45049	---M--	200	added ('OK')	image/jpeg	etag:%225997e64c-aff9%22	http://specthemes.com/proff/big-company/img/content/services/serv-7.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/services/serv-7.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:21	35822/35822	---M--	200	added ('OK')	image/jpeg	etag:%225997e646-8bee%22	http://specthemes.com/proff/big-company/img/content/services/serv-10.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/services/serv-10.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:25	37937/37937	---M--	200	added ('OK')	image/jpeg	etag:%225997e652-9431%22	http://specthemes.com/proff/big-company/img/content/team/t6.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/team/t6.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:30	57978/57978	---M--	200	added ('OK')	image/jpeg	etag:%225997e650-e27a%22	http://specthemes.com/proff/big-company/img/content/team/t3.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/team/t3.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:32	100116/100116	---M--	200	added ('OK')	image/jpeg	etag:%225997e638-18714%22	http://specthemes.com/proff/big-company/img/content/about/team.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/about/team.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:34	49052/49052	---M--	200	added ('OK')	image/jpeg	etag:%225997e64e-bf9c%22	http://specthemes.com/proff/big-company/img/content/team/t2.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/team/t2.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:36	39117/39117	---M--	200	added ('OK')	image/jpeg	etag:%225997e650-98cd%22	http://specthemes.com/proff/big-company/img/content/team/t5.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/team/t5.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:38	22437/22437	---M--	200	added ('OK')	image/jpeg	etag:%225997e644-57a5%22	http://specthemes.com/proff/big-company/img/content/projects/pr1.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/projects/pr1.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:40	32439/32439	---M--	200	added ('OK')	image/jpeg	etag:%225997e644-7eb7%22	http://specthemes.com/proff/big-company/img/content/projects/pr2.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/projects/pr2.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:40	25780/25780	---M--	200	added ('OK')	image/jpeg	etag:%225997e646-64b4%22	http://specthemes.com/proff/big-company/img/content/projects/pr3.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/projects/pr3.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:40	12586/12586	---M--	200	added ('OK')	image/jpeg	etag:%225997e646-312a%22	http://specthemes.com/proff/big-company/img/content/projects/pr4.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/projects/pr4.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:44	20892/20892	---M--	200	added ('OK')	image/jpeg	etag:%225997e646-519c%22	http://specthemes.com/proff/big-company/img/content/projects/pr8.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/projects/pr8.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:44	29781/29781	---M--	200	added ('OK')	image/jpeg	etag:%225997e646-7455%22	http://specthemes.com/proff/big-company/img/content/projects/pr5.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/projects/pr5.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:45	186057/186057	---M--	200	added ('OK')	image/jpeg	etag:%225997e63c-2d6c9%22	http://specthemes.com/proff/big-company/img/content/bg/parallax-1.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/bg/parallax-1.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:57	86052/86052	---M--	200	added ('OK')	image/jpeg	etag:%225997e652-15024%22	http://specthemes.com/proff/big-company/img/content/testmonials/member1.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/testmonials/member1.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:58	63627/63627	---M--	200	added ('OK')	image/jpeg	etag:%225997e652-f88b%22	http://specthemes.com/proff/big-company/img/content/testmonials/member3.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/testmonials/member3.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:01:59	95258/95258	---M--	200	added ('OK')	image/jpeg	etag:%225997e652-1741a%22	http://specthemes.com/proff/big-company/img/content/testmonials/member2.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/testmonials/member2.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:02:01	14548/14548	---M--	200	added ('OK')	image/jpeg	etag:%225997e63c-38d4%22	http://specthemes.com/proff/big-company/img/content/blog/bg2.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/blog/bg2.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:02:02	4250/4250	---M--	200	added ('OK')	image/png	etag:%225997e642-109a%22	http://specthemes.com/proff/big-company/img/content/partners/part-1.png	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/partners/part-1.png	(from http://specthemes.com/proff/big-company/index.html)
18:02:03	34096/34096	---M--	200	added ('OK')	image/jpeg	etag:%225997e63c-8530%22	http://specthemes.com/proff/big-company/img/content/blog/bg1.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/blog/bg1.jpg	(from http://specthemes.com/proff/big-company/index.html)
18:02:03	5271/5271	---M--	200	added ('OK')	image/png	etag:%225997e644-1497%22	http://specthemes.com/proff/big-company/img/content/partners/part-2.png	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/partners/part-2.png	(from http://specthemes.com/proff/big-company/index.html)
18:02:04	4593/4593	---M--	200	added ('OK')	image/png	etag:%225997e644-11f1%22	http://specthemes.com/proff/big-company/img/content/partners/part-3.png	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/partners/part-3.png	(from http://specthemes.com/proff/big-company/index.html)
18:02:04	5034/5034	---M--	200	added ('OK')	image/png	etag:%225997e644-13aa%22	http://specthemes.com/proff/big-company/img/content/partners/part-4.png	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/partners/part-4.png	(from http://specthemes.com/proff/big-company/index.html)
18:02:04	32395/32395	---M--	200	added ('OK')	image/jpeg	etag:%225997e63e-7e8b%22	http://specthemes.com/proff/big-company/img/content/blog/bg3.jpg	C:/My%20Web%20Sites/finance@#$120/specthemes.com/proff/big-company/img/content/blog/bg3.jpg	(from http://specthemes.com/proff/big-company/index.html)
